Directory Name,File Name,Size,Size Unit,is File,File Path
lib,,20,MB,N,E:\D Drive\Ajit\AI CRs\RMS\jboss-3.2.3\server\all\lib
all,,31,MB,N,E:\D Drive\Ajit\AI CRs\RMS\jboss-3.2.3\server\all
lib,,14,MB,N,E:\D Drive\Ajit\AI CRs\RMS\jboss-3.2.3\server\default\lib
log,,78,MB,N,E:\D Drive\Ajit\AI CRs\RMS\jboss-3.2.3\server\default\log
deploy,,20,MB,N,E:\D Drive\Ajit\AI CRs\RMS\jboss-3.2.3\server\default\tmp\deploy
tmp,,20,MB,N,E:\D Drive\Ajit\AI CRs\RMS\jboss-3.2.3\server\default\tmp
default,,125,MB,N,E:\D Drive\Ajit\AI CRs\RMS\jboss-3.2.3\server\default
server,,156,MB,N,E:\D Drive\Ajit\AI CRs\RMS\jboss-3.2.3\server
jboss-3.2.3,,181,MB,N,E:\D Drive\Ajit\AI CRs\RMS\jboss-3.2.3
RMS,,214,MB,N,E:\D Drive\Ajit\AI CRs\RMS
AI CRs,,322,MB,N,E:\D Drive\Ajit\AI CRs
Consolidator,,20,MB,N,E:\D Drive\Ajit\AIE Documents\Engineering\FRS\Consolidator
temp,,73,MB,N,E:\D Drive\Ajit\AIE Documents\Engineering\FRS\temp
Travel Agent,,31,MB,N,E:\D Drive\Ajit\AIE Documents\Engineering\FRS\Travel Agent
FRS,,146,MB,N,E:\D Drive\Ajit\AIE Documents\Engineering\FRS
General Documents,,11,MB,N,E:\D Drive\Ajit\AIE Documents\Engineering\General Documents
HLD,,43,MB,N,E:\D Drive\Ajit\AIE Documents\Engineering\HLD
System Test Cases,,14,MB,N,E:\D Drive\Ajit\AIE Documents\Engineering\Test\Test Cases\System Test Cases
Test Cases,,16,MB,N,E:\D Drive\Ajit\AIE Documents\Engineering\Test\Test Cases
Test,,18,MB,N,E:\D Drive\Ajit\AIE Documents\Engineering\Test
Engineering,,231,MB,N,E:\D Drive\Ajit\AIE Documents\Engineering
Change Request,,22,MB,N,E:\D Drive\Ajit\AIE Documents\Project Management\Change Management\Change Register\Change Request
Change Register,,25,MB,N,E:\D Drive\Ajit\AIE Documents\Project Management\Change Management\Change Register
Change Management,,25,MB,N,E:\D Drive\Ajit\AIE Documents\Project Management\Change Management
Project Management,,43,MB,N,E:\D Drive\Ajit\AIE Documents\Project Management
AIE Documents,,274,MB,N,E:\D Drive\Ajit\AIE Documents
Change Request,,33,MB,N,E:\D Drive\Ajit\AirIndia\Documents\Change Request
Documents,,40,MB,N,E:\D Drive\Ajit\AirIndia\Documents
AirIndia,,40,MB,N,E:\D Drive\Ajit\AirIndia
App_Data,,10,MB,N,E:\D Drive\Ajit\AirIndiaWS\WebUIProjects\AD_VPN\App_Data
AD_VPN,,13,MB,N,E:\D Drive\Ajit\AirIndiaWS\WebUIProjects\AD_VPN
WebUIProjects,,13,MB,N,E:\D Drive\Ajit\AirIndiaWS\WebUIProjects
AirIndiaWS,,42,MB,N,E:\D Drive\Ajit\AirIndiaWS
Model,,34,MB,N,E:\D Drive\Ajit\Airline related data\Ajit\Model
Ajit,,69,MB,N,E:\D Drive\Ajit\Airline related data\Ajit
ARM,,556,MB,N,E:\D Drive\Ajit\Airline related data\ARM
DCS,,28,MB,N,E:\D Drive\Ajit\Airline related data\DCS
Ground Handling Prototype,,48,MB,N,E:\D Drive\Ajit\Airline related data\Ground Handling Prototype
bzFlightApp,,18,MB,N,E:\D Drive\Ajit\Airline related data\Projects\bzFlightApp
Projects,,64,MB,N,E:\D Drive\Ajit\Airline related data\Projects
Airline related data,,805,MB,N,E:\D Drive\Ajit\Airline related data
BusinessFacadeProjects,,31,MB,N,E:\D Drive\Ajit\FreeREZ\BusinessFacadeProjects
BusinessRulesProjects,,19,MB,N,E:\D Drive\Ajit\FreeREZ\BusinessRulesProjects
